종목명,종목코드,초기 자본,2025년 10월 15일 수요일 9:00,,,,,,,2025년 10월 16일 목요일 9:00,,,,,,,,2025년 10월 17일 금요일 9:00,,,,,,,,2025년 10월 20일 월요일 9:00,,,,,,,,2025년 10월 21일 화요일 9:00,,,,,,,,2025년 10월 22일 수요일 9:00,,,,,,,,2025년 10월 23일 목요일 9:00,,,,,,,,2025년 10월 24일 금요일 9:00,,,,,,,,2025년 10월 27일 월요일 9:00,,,,,,,,2025년 10월 28일 화요일 9:00,,,,,,,,2025년 10월 29일 수요일 9:00,,,,,,,,2025년 10월 30일 목요일 9:00,,,,,,,,2025년 10월 31일 금요일 9:00,,,,,,,,2025년 11월 1일 토요일 9:00,,,,,,,
,,"₩2,000,000",사유,거래,종가,보유 주식수,잔고,자산현황,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률
한온시스템,018880,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	3,935",508,"₩	1,020","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,955",508,"₩	1,020","₩	2,010,160","₩10,160",0.51%,보유,HOLD,"₩	3,860",508,"₩	1,020","₩	1,961,900","₩38,100",1.91%,보유,HOLD,"₩	3,960",508,"₩	1,020","₩	2,012,700","₩12,700",0.64%,보유,HOLD,"₩	3,990",508,"₩	1,020","₩	2,027,940","₩27,940",1.40%,보유,HOLD,"₩	3,985",508,"₩	1,020","₩	2,025,400","₩25,400",1.27%,보유,HOLD,"₩	4,265",508,"₩	1,020","₩	2,167,640","₩167,640",8.38%,보유,HOLD,"₩	4,125",508,"₩	1,020","₩	2,096,520","₩96,520",4.83%,보유,HOLD,"₩	4,365",508,"₩	1,020","₩	2,218,440","₩218,440",10.92%
서연,007860,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	9,320",214,"₩	5,520","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	9,600",214,"₩	5,520","₩	2,059,920","₩59,920",3.00%,보유,HOLD,"₩	9,340",214,"₩	5,520","₩	2,004,280","₩4,280",0.21%,보유,HOLD,"₩	9,330",214,"₩	5,520","₩	2,002,140","₩2,140",0.11%,보유,HOLD,"₩	9,360",214,"₩	5,520","₩	2,008,560","₩8,560",0.43%,보유,HOLD,"₩	9,340",214,"₩	5,520","₩	2,004,280","₩4,280",0.21%,보유,HOLD,"₩	9,340",214,"₩	5,520","₩	2,004,280","₩4,280",0.21%,보유,HOLD,"₩	9,420",214,"₩	5,520","₩	2,021,400","₩21,400",1.07%,보유,HOLD,"₩	9,460",214,"₩	5,520","₩	2,029,960","₩29,960",1.50%
아진전자부품,009320,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	1,033","1,936",₩	112,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	1,041","1,936",₩	112,"₩	2,015,488","₩15,488",0.77%,보유,HOLD,"₩	1,034","1,936",₩	112,"₩	2,001,936","₩1,936",0.10%,보유,HOLD,"₩	1,033","1,936",₩	112,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	1,024","1,936",₩	112,"₩	1,982,576","₩17,424",0.87%,보유,HOLD,"₩	1,018","1,936",₩	112,"₩	1,970,960","₩29,040",1.45%,보유,HOLD,"₩	1,014","1,936",₩	112,"₩	1,963,216","₩36,784",1.84%,보유,HOLD,"₩	1,001","1,936",₩	112,"₩	1,938,048","₩61,952",3.10%,보유,HOLD,"₩	1,003","1,936",₩	112,"₩	1,941,920","₩58,080",2.90%
부국증권,001270,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	67,400",29,"₩	45,400","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	67,400",29,"₩	45,400","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	68,100",29,"₩	45,400","₩	2,020,300","₩20,300",1.02%,보유,HOLD,"₩	67,800",29,"₩	45,400","₩	2,011,600","₩11,600",0.58%,보유,HOLD,"₩	69,100",29,"₩	45,400","₩	2,049,300","₩49,300",2.47%,보유,HOLD,"₩	69,000",29,"₩	45,400","₩	2,046,400","₩46,400",2.32%,보유,HOLD,"₩	68,700",29,"₩	45,400","₩	2,037,700","₩37,700",1.88%,보유,HOLD,"₩	67,000",29,"₩	45,400","₩	1,988,400","₩11,600",0.58%,보유,HOLD,"₩	67,800",29,"₩	45,400","₩	2,011,600","₩11,600",0.58%
이수화학,005950,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	5,810",344,"₩	1,360","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	7,550",344,"₩	1,360","₩	2,598,560","₩598,560",29.93%,보유,HOLD,"₩	9,810",344,"₩	1,360","₩	3,376,000","₩1,376,000",68.80%,보유,HOLD,"₩	12,400",344,"₩	1,360","₩	4,266,960","₩2,266,960",113.35%,손절,SELL,"₩	11,130",344,"₩	1,360","₩	3,830,080","₩1,830,080",91.50%,-,-,"₩	12,410",0,"₩	3,830,080","₩	3,830,080","₩1,830,080",91.50%,-,-,"₩	11,700",0,"₩	3,830,080","₩	3,830,080","₩1,830,080",91.50%,-,-,"₩	10,780",0,"₩	3,830,080","₩	3,830,080","₩1,830,080",91.50%,-,-,"₩	10,670",0,"₩	3,830,080","₩	3,830,080","₩1,830,080",91.50%
경농,002100,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	9,690",206,"₩	3,860","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	9,680",206,"₩	3,860","₩	1,997,940","₩2,060",0.10%,보유,HOLD,"₩	9,640",206,"₩	3,860","₩	1,989,700","₩10,300",0.52%,데드크로스,SELL,"₩	9,570",206,"₩	3,860","₩	1,975,280","₩24,720",1.24%,골드크로스,BUY,"₩	9,780",201,"₩	9,500","₩	1,975,280","₩24,720",1.24%,보유,HOLD,"₩	9,790",201,"₩	9,500","₩	1,977,290","₩22,710",1.14%,보유,HOLD,"₩	9,660",201,"₩	9,500","₩	1,951,160","₩48,840",2.44%,보유,HOLD,"₩	9,620",201,"₩	9,500","₩	1,943,120","₩56,880",2.84%,데드크로스,SELL,"₩	9,470",201,"₩	9,500","₩	1,912,970","₩87,030",4.35%
흥아해운,003280,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	1,694","1,180","₩	1,080","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	1,826","1,180","₩	1,080","₩	2,155,760","₩155,760",7.79%,보유,HOLD,"₩	1,880","1,180","₩	1,080","₩	2,219,480","₩219,480",10.97%,손절,SELL,"₩	1,829","1,180","₩	1,080","₩	2,159,300","₩159,300",7.97%,-,-,"₩	1,786",0,"₩	2,159,300","₩	2,159,300","₩159,300",7.97%,-,-,"₩	1,789",0,"₩	2,159,300","₩	2,159,300","₩159,300",7.97%,-,-,"₩	1,778",0,"₩	2,159,300","₩	2,159,300","₩159,300",7.97%,-,-,"₩	1,731",0,"₩	2,159,300","₩	2,159,300","₩159,300",7.97%,-,-,"₩	1,740",0,"₩	2,159,300","₩	2,159,300","₩159,300",7.97%
한화,000880,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	90,800",22,"₩	2,400","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	96,100",22,"₩	2,400","₩	2,116,600","₩116,600",5.83%,보유,HOLD,"₩	94,900",22,"₩	2,400","₩	2,090,200","₩90,200",4.51%,보유,HOLD,"₩	94,800",22,"₩	2,400","₩	2,088,000","₩88,000",4.40%,보유,HOLD,"₩	107,200",22,"₩	2,400","₩	2,360,800","₩360,800",18.04%,보유,HOLD,"₩	98,200",22,"₩	2,400","₩	2,162,800","₩162,800",8.14%,보유,HOLD,"₩	97,900",22,"₩	2,400","₩	2,156,200","₩156,200",7.81%,보유,HOLD,"₩	98,200",22,"₩	2,400","₩	2,162,800","₩162,800",8.14%,보유,HOLD,"₩	95,600",22,"₩	2,400","₩	2,105,600","₩105,600",5.28%
대림통상,006570,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	2,780",719,"₩	1,180","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	2,755",719,"₩	1,180","₩	1,982,025","₩17,975",0.90%,손절,SELL,"₩	2,745",719,"₩	1,180","₩	1,974,835","₩25,165",1.26%,-,-,"₩	2,715",0,"₩	1,974,835","₩	1,974,835","₩25,165",1.26%,-,-,"₩	2,740",0,"₩	1,974,835","₩	1,974,835","₩25,165",1.26%,-,-,"₩	2,675",0,"₩	1,974,835","₩	1,974,835","₩25,165",1.26%,-,-,"₩	2,715",0,"₩	1,974,835","₩	1,974,835","₩25,165",1.26%,-,-,"₩	2,700",0,"₩	1,974,835","₩	1,974,835","₩25,165",1.26%,-,-,"₩	2,725",0,"₩	1,974,835","₩	1,974,835","₩25,165",1.26%
LG,003550,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	76,800",26,"₩	3,200","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	80,100",26,"₩	3,200","₩	2,085,800","₩85,800",4.29%,보유,HOLD,"₩	80,800",26,"₩	3,200","₩	2,104,000","₩104,000",5.20%,보유,HOLD,"₩	80,200",26,"₩	3,200","₩	2,088,400","₩88,400",4.42%,보유,HOLD,"₩	83,100",26,"₩	3,200","₩	2,163,800","₩163,800",8.19%,보유,HOLD,"₩	83,100",26,"₩	3,200","₩	2,163,800","₩163,800",8.19%,보유,HOLD,"₩	83,400",26,"₩	3,200","₩	2,171,600","₩171,600",8.58%,보유,HOLD,"₩	82,700",26,"₩	3,200","₩	2,153,400","₩153,400",7.67%,손절,SELL,"₩	80,300",26,"₩	3,200","₩	2,091,000","₩91,000",4.55%
포스코DX,022100,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	25,700",77,"₩	21,100","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	26,250",77,"₩	21,100","₩	2,042,350","₩42,350",2.12%,보유,HOLD,"₩	27,150",77,"₩	21,100","₩	2,111,650","₩111,650",5.58%,보유,HOLD,"₩	28,500",77,"₩	21,100","₩	2,215,600","₩215,600",10.78%,보유,HOLD,"₩	28,550",77,"₩	21,100","₩	2,219,450","₩219,450",10.97%,보유,HOLD,"₩	27,800",77,"₩	21,100","₩	2,161,700","₩161,700",8.09%,보유,HOLD,"₩	26,850",77,"₩	21,100","₩	2,088,550","₩88,550",4.43%,보유,HOLD,"₩	26,300",77,"₩	21,100","₩	2,046,200","₩46,200",2.31%
DS단석,017860,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	22,200",90,"₩	2,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	21,450",90,"₩	2,000","₩	1,932,500","₩67,500",3.38%,보유,HOLD,"₩	22,400",90,"₩	2,000","₩	2,018,000","₩18,000",0.90%,보유,HOLD,"₩	22,200",90,"₩	2,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	22,100",90,"₩	2,000","₩	1,991,000","₩9,000",0.45%,보유,HOLD,"₩	21,550",90,"₩	2,000","₩	1,941,500","₩58,500",2.93%,손절,SELL,"₩	20,550",90,"₩	2,000","₩	1,851,500","₩148,500",7.43%,-,-,"₩	20,200",0,"₩	1,851,500","₩	1,851,500","₩148,500",7.43%
SK바이오사이언스,302440,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	50,400",39,"₩	34,400","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	49,250",39,"₩	34,400","₩	1,955,150","₩44,850",2.24%,보유,HOLD,"₩	49,150",39,"₩	34,400","₩	1,951,250","₩48,750",2.44%,보유,HOLD,"₩	52,600",39,"₩	34,400","₩	2,085,800","₩85,800",4.29%,보유,HOLD,"₩	54,400",39,"₩	34,400","₩	2,156,000","₩156,000",7.80%,보유,HOLD,"₩	53,200",39,"₩	34,400","₩	2,109,200","₩109,200",5.46%,손절,SELL,"₩	50,900",39,"₩	34,400","₩	2,019,500","₩19,500",0.98%,-,-,"₩	50,700",0,"₩	2,019,500","₩	2,019,500","₩19,500",0.98%
에스케이바이오팜,326030,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	108,200",18,"₩	52,400","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	106,300",18,"₩	52,400","₩	1,965,800","₩34,200",1.71%,보유,HOLD,"₩	106,500",18,"₩	52,400","₩	1,969,400","₩30,600",1.53%,보유,HOLD,"₩	115,200",18,"₩	52,400","₩	2,126,000","₩126,000",6.30%,보유,HOLD,"₩	115,900",18,"₩	52,400","₩	2,138,600","₩138,600",6.93%,보유,HOLD,"₩	114,600",18,"₩	52,400","₩	2,115,200","₩115,200",5.76%,손절,SELL,"₩	113,400",18,"₩	52,400","₩	2,093,600","₩93,600",4.68%,-,-,"₩	115,500",0,"₩	2,093,600","₩	2,093,600","₩93,600",4.68%
HS효성첨단소재,298050,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	191,400",10,"₩	86,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	189,300",10,"₩	86,000","₩	1,979,000","₩21,000",1.05%,보유,HOLD,"₩	200,000",10,"₩	86,000","₩	2,086,000","₩86,000",4.30%,보유,HOLD,"₩	201,000",10,"₩	86,000","₩	2,096,000","₩96,000",4.80%,보유,HOLD,"₩	201,000",10,"₩	86,000","₩	2,096,000","₩96,000",4.80%,보유,HOLD,"₩	203,000",10,"₩	86,000","₩	2,116,000","₩116,000",5.80%,보유,HOLD,"₩	196,500",10,"₩	86,000","₩	2,051,000","₩51,000",2.55%,보유,HOLD,"₩	185,200",10,"₩	86,000","₩	1,938,000","₩62,000",3.10%
HL만도,204320,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	37,600",53,"₩	7,200","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	36,150",53,"₩	7,200","₩	1,923,150","₩76,850",3.84%,보유,HOLD,"₩	36,650",53,"₩	7,200","₩	1,949,650","₩50,350",2.52%,보유,HOLD,"₩	37,200",53,"₩	7,200","₩	1,978,800","₩21,200",1.06%,보유,HOLD,"₩	36,650",53,"₩	7,200","₩	1,949,650","₩50,350",2.52%,보유,HOLD,"₩	37,150",53,"₩	7,200","₩	1,976,150","₩23,850",1.19%,보유,HOLD,"₩	36,450",53,"₩	7,200","₩	1,939,050","₩60,950",3.05%,보유,HOLD,"₩	38,550",53,"₩	7,200","₩	2,050,350","₩50,350",2.52%
세아특수강,019440,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	16,280",122,"₩	13,840","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	16,090",122,"₩	13,840","₩	1,976,820","₩23,180",1.16%,보유,HOLD,"₩	16,250",122,"₩	13,840","₩	1,996,340","₩3,660",0.18%,보유,HOLD,"₩	16,270",122,"₩	13,840","₩	1,998,780","₩1,220",0.06%,보유,HOLD,"₩	16,340",122,"₩	13,840","₩	2,007,320","₩7,320",0.37%,보유,HOLD,"₩	16,210",122,"₩	13,840","₩	1,991,460","₩8,540",0.43%,보유,HOLD,"₩	16,240",122,"₩	13,840","₩	1,995,120","₩4,880",0.24%,보유,HOLD,"₩	16,110",122,"₩	13,840","₩	1,979,260","₩20,740",1.04%
엘브이엠씨,900140,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	1,820","1,098","₩	1,640","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	1,769","1,098","₩	1,640","₩	1,944,002","₩55,998",2.80%,보유,HOLD,"₩	1,772","1,098","₩	1,640","₩	1,947,296","₩52,704",2.64%,손절,SELL,"₩	1,747","1,098","₩	1,640","₩	1,919,846","₩80,154",4.01%,-,-,"₩	1,745",0,"₩	1,919,846","₩	1,919,846","₩80,154",4.01%,-,-,"₩	1,707",0,"₩	1,919,846","₩	1,919,846","₩80,154",4.01%,-,-,"₩	1,679",0,"₩	1,919,846","₩	1,919,846","₩80,154",4.01%,-,-,"₩	1,658",0,"₩	1,919,846","₩	1,919,846","₩80,154",4.01%
현대글로비스,086280,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	173,400",11,"₩	92,600","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	168,400",11,"₩	92,600","₩	1,945,000","₩55,000",2.75%,보유,HOLD,"₩	167,900",11,"₩	92,600","₩	1,939,500","₩60,500",3.03%,보유,HOLD,"₩	169,500",11,"₩	92,600","₩	1,957,100","₩42,900",2.15%,보유,HOLD,"₩	169,300",11,"₩	92,600","₩	1,954,900","₩45,100",2.26%,보유,HOLD,"₩	168,800",11,"₩	92,600","₩	1,949,400","₩50,600",2.53%,보유,HOLD,"₩	171,000",11,"₩	92,600","₩	1,973,600","₩26,400",1.32%,보유,HOLD,"₩	188,800",11,"₩	92,600","₩	2,169,400","₩169,400",8.47%
유니드,014830,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	75,500",26,"₩	37,000","₩	2,000,000",₩0,0.00%,데드크로스,SELL,"₩	74,900",26,"₩	37,000","₩	1,984,400","₩15,600",0.78%,-,-,"₩	75,000",0,"₩	1,984,400","₩	1,984,400","₩15,600",0.78%,-,-,"₩	72,100",0,"₩	1,984,400","₩	1,984,400","₩15,600",0.78%,-,-,"₩	70,700",0,"₩	1,984,400","₩	1,984,400","₩15,600",0.78%,-,-,"₩	70,100",0,"₩	1,984,400","₩	1,984,400","₩15,600",0.78%,-,-,"₩	68,500",0,"₩	1,984,400","₩	1,984,400","₩15,600",0.78%,-,-,"₩	67,200",0,"₩	1,984,400","₩	1,984,400","₩15,600",0.78%
한국가스공사,036460,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	41,950",47,"₩	28,350","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	42,400",47,"₩	28,350","₩	2,021,150","₩21,150",1.06%,보유,HOLD,"₩	42,600",47,"₩	28,350","₩	2,030,550","₩30,550",1.53%,보유,HOLD,"₩	42,800",47,"₩	28,350","₩	2,039,950","₩39,950",2.00%,보유,HOLD,"₩	43,000",47,"₩	28,350","₩	2,049,350","₩49,350",2.47%,보유,HOLD,"₩	42,800",47,"₩	28,350","₩	2,039,950","₩39,950",2.00%,보유,HOLD,"₩	42,150",47,"₩	28,350","₩	2,009,400","₩9,400",0.47%,보유,HOLD,"₩	41,700",47,"₩	28,350","₩	1,988,250","₩11,750",0.59%
온타이드,005320,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,₩	559,"3,577",₩	457,"₩	2,000,000",₩0,0.00%,보유,HOLD,₩	572,"3,577",₩	457,"₩	2,046,501","₩46,501",2.33%,보유,HOLD,₩	548,"3,577",₩	457,"₩	1,960,653","₩39,347",1.97%,보유,HOLD,₩	538,"3,577",₩	457,"₩	1,924,883","₩75,117",3.76%,보유,HOLD,₩	547,"3,577",₩	457,"₩	1,957,076","₩42,924",2.15%,보유,HOLD,₩	532,"3,577",₩	457,"₩	1,903,421","₩96,579",4.83%,손절,SELL,₩	485,"3,577",₩	457,"₩	1,735,302","₩264,698",13.23%,-,-,₩	473,0,"₩	1,735,302","₩	1,735,302","₩264,698",13.23%
성문전자,014910,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	1,175","1,702",₩	150,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	1,186","1,702",₩	150,"₩	2,018,722","₩18,722",0.94%,보유,HOLD,"₩	1,173","1,702",₩	150,"₩	1,996,596","₩3,404",0.17%,보유,HOLD,"₩	1,194","1,702",₩	150,"₩	2,032,338","₩32,338",1.62%,보유,HOLD,"₩	1,193","1,702",₩	150,"₩	2,030,636","₩30,636",1.53%,보유,HOLD,"₩	1,193","1,702",₩	150,"₩	2,030,636","₩30,636",1.53%,손절,SELL,"₩	1,162","1,702",₩	150,"₩	1,977,874","₩22,126",1.11%,-,-,"₩	1,141",0,"₩	1,977,874","₩	1,977,874","₩22,126",1.11%
미창석유공업,003650,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	108,400",18,"₩	48,800","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	107,900",18,"₩	48,800","₩	1,991,000","₩9,000",0.45%,보유,HOLD,"₩	107,200",18,"₩	48,800","₩	1,978,400","₩21,600",1.08%,보유,HOLD,"₩	107,500",18,"₩	48,800","₩	1,983,800","₩16,200",0.81%,보유,HOLD,"₩	107,500",18,"₩	48,800","₩	1,983,800","₩16,200",0.81%,보유,HOLD,"₩	108,400",18,"₩	48,800","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	108,800",18,"₩	48,800","₩	2,007,200","₩7,200",0.36%,보유,HOLD,"₩	108,900",18,"₩	48,800","₩	2,009,000","₩9,000",0.45%
신원,009270,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	1,810","1,104","₩	1,760","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	1,794","1,104","₩	1,760","₩	1,982,336","₩17,664",0.88%,보유,HOLD,"₩	1,770","1,104","₩	1,760","₩	1,955,840","₩44,160",2.21%,손절,SELL,"₩	1,747","1,104","₩	1,760","₩	1,930,448","₩69,552",3.48%,-,-,"₩	3,920",0,"₩	1,930,448","₩	1,930,448","₩69,552",3.48%,-,-,"₩	4,010",0,"₩	1,930,448","₩	1,930,448","₩69,552",3.48%,-,-,"₩	4,050",0,"₩	1,930,448","₩	1,930,448","₩69,552",3.48%,-,-,"₩	1,459",0,"₩	1,930,448","₩	1,930,448","₩69,552",3.48%
현대건설,000720,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	58,900",33,"₩	56,300","₩	2,000,000",₩0,0.00%,데드크로스,SELL,"₩	57,100",33,"₩	56,300","₩	1,940,600","₩59,400",2.97%,골드크로스,BUY,"₩	66,600",29,"₩	9,200","₩	1,940,600","₩59,400",2.97%,보유,HOLD,"₩	69,100",29,"₩	9,200","₩	2,013,100","₩13,100",0.66%,보유,HOLD,"₩	68,900",29,"₩	9,200","₩	2,007,300","₩7,300",0.37%,보유,HOLD,"₩	73,500",29,"₩	9,200","₩	2,140,700","₩140,700",7.03%,보유,HOLD,"₩	68,900",29,"₩	9,200","₩	2,007,300","₩7,300",0.37%,보유,HOLD,"₩	70,300",29,"₩	9,200","₩	2,047,900","₩47,900",2.40%
현대코퍼레이션,011760,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	22,800",87,"₩	16,400","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	22,750",87,"₩	16,400","₩	1,995,650","₩4,350",0.22%,보유,HOLD,"₩	22,500",87,"₩	16,400","₩	1,973,900","₩26,100",1.31%,보유,HOLD,"₩	22,400",87,"₩	16,400","₩	1,965,200","₩34,800",1.74%,보유,HOLD,"₩	22,250",87,"₩	16,400","₩	1,952,150","₩47,850",2.39%,보유,HOLD,"₩	22,000",87,"₩	16,400","₩	1,930,400","₩69,600",3.48%,데드크로스,SELL,"₩	21,400",87,"₩	16,400","₩	1,878,200","₩121,800",6.09%,-,-,"₩	21,250",0,"₩	1,878,200","₩	1,878,200","₩121,800",6.09%
대원강업,000430,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	3,895",513,"₩	1,865","₩	2,000,000",₩0,0.00%,손절,SELL,"₩	3,810",513,"₩	1,865","₩	1,956,395","₩43,605",2.18%,-,-,"₩	3,800",0,"₩	1,956,395","₩	1,956,395","₩43,605",2.18%,-,-,"₩	3,810",0,"₩	1,956,395","₩	1,956,395","₩43,605",2.18%,-,-,"₩	3,920",0,"₩	1,956,395","₩	1,956,395","₩43,605",2.18%,-,-,"₩	4,010",0,"₩	1,956,395","₩	1,956,395","₩43,605",2.18%,-,-,"₩	4,050",0,"₩	1,956,395","₩	1,956,395","₩43,605",2.18%,-,-,"₩	4,200",0,"₩	1,956,395","₩	1,956,395","₩43,605",2.18%
유한양행,000100,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	118,400",16,"₩	105,600","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	115,500",16,"₩	105,600","₩	1,953,600","₩46,400",2.32%,보유,HOLD,"₩	114,100",16,"₩	105,600","₩	1,931,200","₩68,800",3.44%,보유,HOLD,"₩	119,500",16,"₩	105,600","₩	2,017,600","₩17,600",0.88%,보유,HOLD,"₩	119,500",16,"₩	105,600","₩	2,017,600","₩17,600",0.88%,보유,HOLD,"₩	117,200",16,"₩	105,600","₩	1,980,800","₩19,200",0.96%,보유,HOLD,"₩	116,000",16,"₩	105,600","₩	1,961,600","₩38,400",1.92%,보유,HOLD,"₩	118,000",16,"₩	105,600","₩	1,993,600","₩6,400",0.32%
